,area,min_circle_r,bbox_height,bbox_width,aspect_ratio,bbox_area,extent,solidity,equivalent_d,mean_R,mean_G,mean_B
count,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0,1107.0
mean,1384.69918699187,27.65477953758343,46.186088527551945,42.806684733514004,1.0355917791414413,3527.833785004517,0.46406027083352386,0.7815070631220622,31.881663729442348,0.8653396475564855,0.7273785614670306,0.6393004500407516
std,4385.008227565038,25.415991219550225,43.6591232940182,40.8628747192258,0.5166983380312226,11673.647150609817,0.12775061544022892,0.1464229741203412,27.33657508721392,0.09066096671078519,0.26045888793983096,0.346228829821069
min,58.0,8.338272094726562,5.0,7.0,0.21052631578947367,120.0,0.09754962779156327,0.2173230593607306,8.593479713983122,0.4324956273589248,0.003708683473389356,0.0017499472907442546
25%,220.5,13.463011741638184,22.0,21.0,0.7241379310344828,462.0,0.37245306776556775,0.6778517685721699,16.755575776860173,0.8431998190711862,0.5321420492908759,0.2784073771346662
50%,433.5,19.026397705078125,32.0,31.0,0.9090909090909091,945.0,0.4673076923076923,0.8147612156295224,23.493602164050813,0.8961761336837141,0.8961866278042748,0.8851674324503186
75%,1079.5,32.01572036743164,55.0,48.0,1.2,2624.5,0.556420690902514,0.9020933374719275,37.0735953640272,0.9224134250474384,0.9243587874507531,0.9160067165826364
max,87184.5,257.23345947265625,417.0,486.0,5.5,198288.0,0.7575,0.9812369701181376,333.17675952557494,0.9882679738562091,0.9748140635564571,0.9785707647988104
