,area,min_circle_r,bbox_height,bbox_width,aspect_ratio,bbox_area,extent,solidity,equivalent_d,mean_R,mean_G,mean_B
count,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0,856.0
mean,1936.4719626168223,31.541199356596046,54.70443925233645,47.80607476635514,0.9120393192082489,5841.427570093458,0.4170574567121263,0.7256190950221665,34.90421448521177,0.9144674196947643,0.8639585748975087,0.8328517618378717
std,7164.278501385315,36.39245270800283,59.18131741645485,59.8058047253235,0.3637203935613578,27867.531034724907,0.13853073662845503,0.17230466942487663,35.33761888121224,0.041081490054341085,0.11930223357429884,0.1579999425759185
min,50.0,8.381627082824707,9.0,4.0,0.1320754716981132,100.0,0.11632853978411448,0.2383744715668894,7.978845608028654,0.4197513151602104,0.00015278838808250572,0.0017758046614872365
25%,202.625,13.306577920913696,24.0,21.0,0.6942204301075268,479.0,0.302501668988738,0.594401321292131,16.06195936997275,0.9002872819592078,0.8690332771044126,0.8426649360762184
50%,485.75,20.964341163635254,37.0,31.5,0.8434436274509804,1194.0,0.40988721804511274,0.7435215946843854,24.869179075697723,0.9219742100398638,0.8958662842942794,0.8805651962361521
75%,1228.125,34.75896739959717,62.25,53.0,1.0625,3184.0,0.5320115368502465,0.8824801346756526,39.54358690568134,0.9333148357534732,0.9165160616943655,0.9041900677302399
max,99577.0,436.8232727050781,609.0,776.0,4.0,472584.0,0.7522893772893773,0.9773809523809524,356.0693389581491,0.9900974915105707,0.9559023066485752,0.9408363017874908
