,contour,moments,area_pixels,area_μm^2
0,"[[[668 708]]

 [[666 718]]

 [[670 731]]

 [[682 740]]

 [[694 743]]

 [[698 729]]

 [[698 722]]

 [[690 715]]

 [[684 716]]

 [[678 711]]

 [[672 708]]]","[682, 725]",729.0,86.68252080856124
1,"[[[568 661]]

 [[564 664]]

 [[561 664]]

 [[558 667]]

 [[555 677]]

 [[557 681]]

 [[556 684]]

 [[561 695]]

 [[566 697]]

 [[567 699]]

 [[572 699]]

 [[574 694]]

 [[573 689]]

 [[584 686]]

 [[586 684]]

 [[587 678]]

 [[584 671]]

 [[577 664]]]","[569, 678]",798.0,94.88703923900118
2,"[[[ 63 648]]

 [[ 61 651]]

 [[ 55 651]]

 [[ 52 656]]

 [[ 53 664]]

 [[ 60 670]]

 [[ 60 673]]

 [[ 58 675]]

 [[ 54 675]]

 [[ 54 682]]

 [[ 59 686]]

 [[ 66 686]]

 [[ 68 688]]

 [[ 68 677]]

 [[ 65 671]]

 [[ 70 670]]

 [[ 76 664]]

 [[ 75 656]]

 [[ 70 651]]]","[63, 665]",570.0,67.77645659928656
3,"[[[138 632]]

 [[136 632]]

 [[131 639]]

 [[129 639]]

 [[124 634]]

 [[121 634]]

 [[118 637]]

 [[111 640]]

 [[111 644]]

 [[109 646]]

 [[101 671]]

 [[101 687]]

 [[107 702]]

 [[117 701]]

 [[120 697]]

 [[125 696]]

 [[131 690]]

 [[147 661]]

 [[147 658]]

 [[142 656]]

 [[139 649]]

 [[139 645]]

 [[143 640]]

 [[143 636]]]","[121, 666]",2147.0,255.29131985731271
4,"[[[ 56 594]]

 [[ 45 593]]

 [[ 41 596]]

 [[ 40 607]]

 [[ 37 610]]

 [[ 30 610]]

 [[ 25 618]]

 [[ 24 624]]

 [[ 27 628]]

 [[ 33 627]]

 [[ 37 624]]

 [[ 39 620]]

 [[ 39 612]]

 [[ 41 609]]

 [[ 44 609]]

 [[ 47 613]]

 [[ 44 617]]

 [[ 46 628]]

 [[ 51 630]]

 [[ 54 629]]

 [[ 53 626]]

 [[ 47 626]]

 [[ 46 617]]

 [[ 53 610]]

 [[ 57 609]]

 [[ 60 605]]

 [[ 60 599]]]","[42, 610]",571.5,67.95481569560047
5,"[[[ 68 498]]

 [[ 62 495]]

 [[ 58 495]]

 [[ 56 497]]

 [[ 46 499]]

 [[ 40 504]]

 [[ 38 504]]

 [[ 31 512]]

 [[ 31 516]]

 [[ 29 518]]

 [[ 37 520]]

 [[ 41 524]]

 [[ 40 529]]

 [[ 31 531]]

 [[ 29 533]]

 [[ 29 542]]

 [[ 31 546]]

 [[ 36 549]]

 [[ 42 549]]

 [[ 46 546]]

 [[ 53 545]]

 [[ 56 542]]

 [[ 58 542]]

 [[ 63 536]]

 [[ 67 537]]

 [[ 70 534]]

 [[ 72 527]]

 [[ 72 503]]]","[51, 521]",1690.5,201.01070154577883
6,"[[[371 407]]

 [[369 410]]

 [[369 416]]

 [[380 433]]

 [[381 440]]

 [[384 446]]

 [[389 450]]

 [[399 452]]

 [[403 448]]

 [[405 448]]

 [[406 437]]

 [[400 426]]

 [[386 411]]

 [[380 407]]]","[388, 429]",941.5,111.95005945303211
7,"[[[684 369]]

 [[676 370]]

 [[671 381]]

 [[667 378]]

 [[661 378]]

 [[659 380]]

 [[654 381]]

 [[652 393]]

 [[653 397]]

 [[658 402]]

 [[667 405]]

 [[675 397]]

 [[675 391]]

 [[680 387]]

 [[685 386]]

 [[685 384]]

 [[688 381]]

 [[689 375]]]","[669, 386]",721.0,85.73127229488703
8,"[[[606 355]]

 [[603 359]]

 [[603 362]]

 [[600 364]]

 [[599 369]]

 [[592 368]]

 [[582 360]]

 [[582 365]]

 [[586 367]]

 [[587 371]]

 [[585 380]]

 [[587 383]]

 [[583 385]]

 [[575 383]]

 [[575 386]]

 [[570 387]]

 [[570 389]]

 [[572 390]]

 [[574 388]]

 [[577 388]]

 [[582 394]]

 [[583 392]]

 [[585 392]]

 [[586 389]]

 [[593 387]]

 [[594 389]]

 [[592 391]]

 [[594 393]]

 [[592 400]]

 [[594 400]]

 [[595 403]]

 [[600 390]]

 [[604 392]]

 [[606 396]]

 [[608 393]]

 [[611 393]]

 [[611 391]]

 [[602 390]]

 [[603 383]]

 [[610 379]]

 [[608 379]]

 [[605 375]]

 [[598 374]]

 [[599 372]]

 [[601 372]]

 [[602 365]]

 [[606 365]]

 [[607 369]]

 [[610 368]]

 [[611 371]]

 [[617 371]]

 [[617 368]]

 [[610 366]]

 [[606 358]]]","[594, 379]",646.0,76.81331747919144
9,"[[[362 284]]

 [[359 287]]

 [[358 293]]

 [[364 311]]

 [[367 314]]

 [[367 316]]

 [[376 317]]

 [[380 313]]

 [[381 309]]

 [[376 292]]

 [[373 289]]

 [[373 287]]

 [[369 284]]]","[369, 300]",518.5,61.652794292508915
