,contour,moments,area_pixels
0,"[[[1129  539]]

 [[1125  539]]

 [[1122  543]]

 [[1122  550]]

 [[1124  556]]

 [[1120  562]]

 [[1119  567]]

 [[1112  566]]

 [[1110  557]]

 [[1104  556]]

 [[1101  559]]

 [[1101  565]]

 [[1109  568]]

 [[1108  575]]

 [[1109  578]]

 [[1113  580]]

 [[1119  579]]

 [[1122  574]]

 [[1133  574]]

 [[1143  564]]

 [[1143  553]]]","[1125, 561]",846.0
1,"[[[2036  673]]

 [[2037  692]]

 [[2040  695]]

 [[2048  693]]

 [[2051  689]]

 [[2064  694]]

 [[2079  695]]

 [[2090  693]]

 [[2096  688]]

 [[2096  684]]

 [[2093  681]]

 [[2083  679]]

 [[2074  680]]

 [[2064  674]]

 [[2056  674]]

 [[2053  664]]

 [[2049  662]]

 [[2041  663]]]","[2060, 682]",1148.0
2,"[[[1628  860]]

 [[1625  864]]

 [[1619  862]]

 [[1615  866]]

 [[1615  871]]

 [[1618  873]]

 [[1622  873]]

 [[1625  870]]

 [[1628  872]]

 [[1627  883]]

 [[1631  891]]

 [[1628  894]]

 [[1624  905]]

 [[1617  911]]

 [[1617  914]]

 [[1620  918]]

 [[1626  918]]

 [[1628  923]]

 [[1633  924]]

 [[1637  921]]

 [[1635  913]]

 [[1644  904]]

 [[1646  898]]

 [[1645  873]]

 [[1643  866]]

 [[1638  861]]]","[1632, 889]",1156.5
3,"[[[1759  948]]

 [[1754  953]]

 [[1753  962]]

 [[1759  967]]

 [[1759  981]]

 [[1767  981]]

 [[1773  977]]

 [[1775  963]]

 [[1771  953]]

 [[1768  950]]]","[1764, 964]",511.5
4,"[[[1819  869]]

 [[1812  868]]

 [[1805  875]]

 [[1799  876]]

 [[1796  879]]

 [[1794  885]]

 [[1787  883]]

 [[1779  885]]

 [[1774  892]]

 [[1774  896]]

 [[1776  900]]

 [[1780  903]]

 [[1780  905]]

 [[1778  907]]

 [[1773  907]]

 [[1763  911]]

 [[1757  918]]

 [[1757  924]]

 [[1762  928]]

 [[1771  926]]

 [[1780  918]]

 [[1782  911]]

 [[1784  909]]

 [[1787  910]]

 [[1787  919]]

 [[1789  922]]

 [[1796  925]]

 [[1801  924]]

 [[1803  918]]

 [[1798  910]]

 [[1799  900]]

 [[1802  894]]

 [[1801  889]]

 [[1807  887]]

 [[1809  881]]

 [[1816  880]]

 [[1820  875]]]","[1787, 900]",1396.5
5,"[[[2072  944]]

 [[2065  938]]

 [[2053  936]]

 [[2029  951]]

 [[2015  952]]

 [[2012  950]]

 [[1999  948]]

 [[1995  949]]

 [[1991  954]]

 [[1982  957]]

 [[1981  965]]

 [[1983  968]]

 [[1988  969]]

 [[1991  972]]

 [[1993  977]]

 [[1993  988]]

 [[1997  992]]

 [[2004  994]]

 [[2016  983]]

 [[2018  985]]

 [[2023  986]]

 [[2026  983]]

 [[2026  972]]

 [[2037  964]]

 [[2046  963]]

 [[2048  968]]

 [[2047  979]]

 [[2051  982]]

 [[2059  981]]

 [[2061  960]]

 [[2063  960]]

 [[2066  963]]

 [[2064  967]]

 [[2067  972]]

 [[2071  972]]

 [[2073  969]]

 [[2075  953]]

 [[2073  951]]]","[2028, 962]",2786.0
6,"[[[2075  813]]

 [[2075  827]]

 [[2082  832]]

 [[2083  848]]

 [[2076  853]]

 [[2068  868]]

 [[2068  873]]

 [[2072  878]]

 [[2073  882]]

 [[2071  889]]

 [[2072  897]]

 [[2081  907]]

 [[2087  907]]

 [[2091  904]]

 [[2096  909]]

 [[2098  914]]

 [[2105  915]]

 [[2106  918]]

 [[2102  921]]

 [[2102  924]]

 [[2105  928]]

 [[2111  928]]

 [[2114  923]]

 [[2137  923]]

 [[2141  918]]

 [[2141  903]]

 [[2140  899]]

 [[2135  892]]

 [[2127  892]]

 [[2123  896]]

 [[2112  897]]

 [[2099  891]]

 [[2088  891]]

 [[2081  884]]

 [[2082  877]]

 [[2080  872]]

 [[2090  857]]

 [[2096  851]]

 [[2100  854]]

 [[2106  854]]

 [[2108  852]]

 [[2117  852]]

 [[2120  849]]

 [[2120  846]]

 [[2118  843]]

 [[2111  839]]

 [[2111  837]]

 [[2114  834]]

 [[2114  830]]

 [[2112  828]]

 [[2108  827]]

 [[2104  831]]

 [[2098  830]]

 [[2095  827]]

 [[2088  824]]

 [[2082  813]]]","[2100, 878]",3094.0
7,"[[[2103  767]]

 [[2098  765]]

 [[2092  758]]

 [[2087  758]]

 [[2073  772]]

 [[2074  787]]

 [[2081  788]]

 [[2084  786]]

 [[2083  779]]

 [[2088  775]]

 [[2103  775]]]","[2086, 771]",481.5
8,"[[[1985  716]]

 [[1982  719]]

 [[1979  728]]

 [[1980  740]]

 [[1975  749]]

 [[1976  755]]

 [[1983  758]]

 [[1991  758]]

 [[1995  754]]

 [[1995  747]]

 [[1997  741]]

 [[1996  733]]

 [[1998  731]]

 [[2006  730]]

 [[2007  725]]

 [[2003  720]]

 [[1999  720]]

 [[1992  716]]]","[1988, 736]",802.5
9,"[[[2196  693]]

 [[2193  695]]

 [[2187  707]]

 [[2177  711]]

 [[2174  715]]

 [[2170  716]]

 [[2170  722]]

 [[2171  724]]

 [[2178  724]]

 [[2179  722]]

 [[2189  720]]

 [[2191  725]]

 [[2182  728]]

 [[2181  735]]

 [[2189  741]]

 [[2193  749]]

 [[2200  750]]

 [[2202  749]]

 [[2203  742]]

 [[2200  738]]

 [[2197  726]]

 [[2200  723]]

 [[2199  716]]

 [[2203  712]]

 [[2205  699]]

 [[2202  694]]]","[2191, 720]",949.5
