,contour,moments,area_pixels,area_μm^2
0,"[[[583 653]]

 [[585 662]]

 [[592 670]]

 [[595 670]]

 [[599 674]]

 [[602 681]]

 [[608 684]]

 [[615 683]]

 [[624 686]]

 [[638 686]]

 [[638 680]]

 [[635 675]]

 [[611 646]]

 [[596 645]]]","[609, 666]",1347.5,160.22592152199763
1,"[[[646 603]]

 [[644 621]]

 [[642 624]]

 [[632 631]]

 [[632 644]]

 [[639 658]]

 [[650 670]]

 [[664 676]]

 [[676 677]]

 [[685 670]]

 [[688 670]]

 [[695 665]]

 [[701 651]]

 [[699 645]]

 [[699 635]]

 [[693 619]]

 [[689 615]]

 [[665 609]]

 [[663 607]]

 [[655 607]]

 [[650 603]]]","[666, 641]",3626.0,431.15338882283
2,"[[[112 599]]

 [[106 603]]

 [[101 604]]

 [[100 606]]

 [[ 95 607]]

 [[ 92 613]]

 [[ 88 616]]

 [[ 79 618]]

 [[ 73 626]]

 [[ 72 632]]

 [[ 66 640]]

 [[ 66 646]]

 [[ 63 650]]

 [[ 62 660]]

 [[ 58 668]]

 [[ 58 676]]

 [[ 63 676]]

 [[ 67 670]]

 [[ 87 664]]

 [[ 88 667]]

 [[ 99 677]]

 [[108 682]]

 [[115 681]]

 [[120 676]]

 [[123 670]]

 [[128 648]]

 [[126 643]]

 [[125 627]]

 [[127 625]]

 [[130 625]]

 [[131 621]]

 [[124 613]]

 [[121 607]]

 [[118 604]]

 [[112 602]]]","[98, 642]",3768.5,448.0975029726516
3,"[[[198 592]]

 [[179 598]]

 [[172 596]]

 [[171 603]]

 [[173 607]]

 [[173 616]]

 [[170 624]]

 [[164 629]]

 [[162 633]]

 [[162 643]]

 [[171 626]]

 [[179 624]]

 [[183 621]]

 [[188 621]]

 [[192 618]]

 [[200 600]]]","[182, 610]",709.0,84.30439952437574
4,"[[[539 585]]

 [[531 593]]

 [[521 594]]

 [[519 596]]

 [[519 599]]

 [[511 610]]

 [[511 614]]

 [[514 618]]

 [[514 628]]

 [[517 635]]

 [[522 640]]

 [[526 639]]

 [[534 644]]

 [[542 645]]

 [[548 649]]

 [[554 649]]

 [[564 645]]

 [[574 634]]

 [[578 624]]

 [[578 616]]

 [[568 591]]

 [[562 590]]

 [[560 588]]

 [[545 587]]]","[545, 617]",3175.5,377.58620689655174
5,"[[[629 582]]

 [[621 575]]

 [[616 573]]

 [[592 576]]

 [[586 582]]

 [[584 582]]

 [[581 586]]

 [[581 594]]

 [[586 602]]

 [[589 614]]

 [[592 614]]

 [[594 612]]

 [[604 612]]

 [[613 608]]

 [[614 606]]

 [[622 606]]

 [[629 597]]]","[605, 592]",1481.5,176.15933412604042
6,"[[[ 50 559]]

 [[ 43 567]]

 [[ 43 578]]

 [[ 48 588]]

 [[ 51 590]]

 [[ 56 590]]

 [[ 65 581]]

 [[ 65 575]]

 [[ 62 566]]

 [[ 55 559]]]","[53, 574]",516.5,61.41498216409037
7,"[[[692 548]]

 [[682 552]]

 [[677 557]]

 [[666 581]]

 [[669 592]]

 [[680 599]]

 [[682 599]]

 [[688 593]]

 [[695 590]]

 [[703 579]]

 [[702 565]]

 [[696 561]]

 [[696 553]]

 [[695 550]]]","[684, 574]",1220.5,145.12485136741975
8,"[[[536 548]]

 [[523 549]]

 [[517 552]]

 [[517 583]]

 [[531 576]]

 [[537 560]]]","[525, 563]",533.5,63.43638525564804
9,"[[[156 543]]

 [[151 543]]

 [[140 547]]

 [[135 553]]

 [[135 559]]

 [[133 563]]

 [[125 570]]

 [[125 573]]

 [[143 575]]

 [[148 573]]

 [[149 560]]

 [[151 558]]

 [[153 551]]

 [[155 549]]

 [[158 549]]]","[142, 559]",536.5,63.793103448275865
