,contour,moments,area_pixels,area_μm^2
0,"[[[480 702]]

 [[478 709]]

 [[482 712]]

 [[482 715]]

 [[471 723]]

 [[469 726]]

 [[469 732]]

 [[472 736]]

 [[481 742]]

 [[497 744]]

 [[500 741]]

 [[500 734]]

 [[503 733]]

 [[503 728]]

 [[500 724]]

 [[497 724]]

 [[490 719]]

 [[489 713]]

 [[483 706]]

 [[482 702]]]","[485, 728]",760.5,121.68
1,"[[[273 692]]

 [[276 699]]

 [[279 702]]

 [[283 703]]

 [[284 711]]

 [[290 718]]

 [[299 718]]

 [[310 706]]

 [[310 701]]

 [[305 697]]

 [[303 693]]

 [[290 690]]

 [[285 690]]

 [[282 694]]

 [[280 694]]

 [[277 690]]]","[293, 702]",657.5,105.2
2,"[[[133 610]]

 [[127 616]]

 [[127 624]]

 [[122 630]]

 [[127 637]]

 [[127 643]]

 [[134 657]]

 [[136 659]]

 [[139 659]]

 [[143 654]]

 [[151 654]]

 [[153 647]]

 [[149 636]]

 [[147 634]]

 [[144 634]]

 [[140 629]]

 [[141 623]]

 [[137 611]]]","[136, 636]",808.5,129.36
3,"[[[233 595]]

 [[231 598]]

 [[233 610]]

 [[230 613]]

 [[223 616]]

 [[223 624]]

 [[226 628]]

 [[227 634]]

 [[223 650]]

 [[225 650]]

 [[229 656]]

 [[233 647]]

 [[237 647]]

 [[244 653]]

 [[243 658]]

 [[235 665]]

 [[237 668]]

 [[237 672]]

 [[239 675]]

 [[244 674]]

 [[246 676]]

 [[256 676]]

 [[261 682]]

 [[260 691]]

 [[263 694]]

 [[265 694]]

 [[263 686]]

 [[265 677]]

 [[263 673]]

 [[255 672]]

 [[255 668]]

 [[260 662]]

 [[260 657]]

 [[258 653]]

 [[252 654]]

 [[247 649]]

 [[247 642]]

 [[252 639]]

 [[248 632]]

 [[246 623]]

 [[244 622]]

 [[238 601]]

 [[235 595]]]","[241, 642]",1462.0,233.92000000000002
4,"[[[256 587]]

 [[254 590]]

 [[248 592]]

 [[248 595]]

 [[253 603]]

 [[253 606]]

 [[249 610]]

 [[249 612]]

 [[252 613]]

 [[254 610]]

 [[262 611]]

 [[265 615]]

 [[265 624]]

 [[273 627]]

 [[275 635]]

 [[282 641]]

 [[283 644]]

 [[282 654]]

 [[286 660]]

 [[286 664]]

 [[282 670]]

 [[274 672]]

 [[274 681]]

 [[275 683]]

 [[277 683]]

 [[280 681]]

 [[284 681]]

 [[288 676]]

 [[287 671]]

 [[290 666]]

 [[288 646]]

 [[286 645]]

 [[283 634]]

 [[279 628]]

 [[279 624]]

 [[273 616]]

 [[273 611]]

 [[277 608]]

 [[282 609]]

 [[284 605]]

 [[280 601]]

 [[278 593]]

 [[273 592]]

 [[270 597]]

 [[267 597]]

 [[258 587]]]","[271, 623]",1089.0,174.24
5,"[[[662 586]]

 [[660 589]]

 [[662 599]]

 [[676 610]]

 [[676 612]]

 [[669 613]]

 [[665 609]]

 [[658 608]]

 [[653 609]]

 [[653 612]]

 [[660 615]]

 [[668 623]]

 [[675 635]]

 [[679 635]]

 [[682 630]]

 [[681 623]]

 [[678 619]]

 [[678 612]]

 [[680 609]]

 [[679 602]]

 [[666 587]]]","[670, 611]",581.0,92.96000000000001
6,"[[[676 533]]

 [[669 539]]

 [[668 547]]

 [[660 553]]

 [[661 570]]

 [[663 574]]

 [[677 587]]

 [[680 597]]

 [[685 597]]

 [[688 599]]

 [[694 608]]

 [[698 608]]

 [[698 599]]

 [[702 599]]

 [[706 606]]

 [[711 606]]

 [[712 599]]

 [[710 591]]

 [[702 580]]

 [[702 575]]

 [[709 572]]

 [[708 565]]

 [[705 559]]

 [[703 559]]

 [[700 555]]

 [[699 551]]

 [[692 552]]

 [[688 548]]

 [[686 540]]

 [[680 534]]]","[685, 570]",2223.5,355.76
7,"[[[335 533]]

 [[331 539]]

 [[331 545]]

 [[342 558]]

 [[348 558]]

 [[351 561]]

 [[351 565]]

 [[355 566]]

 [[364 576]]

 [[368 577]]

 [[371 580]]

 [[379 596]]

 [[386 597]]

 [[391 601]]

 [[390 609]]

 [[392 612]]

 [[396 610]]

 [[404 614]]

 [[414 612]]

 [[416 614]]

 [[416 617]]

 [[422 617]]

 [[422 614]]

 [[418 610]]

 [[415 612]]

 [[414 609]]

 [[409 605]]

 [[409 591]]

 [[405 593]]

 [[398 593]]

 [[394 591]]

 [[389 595]]

 [[387 593]]

 [[384 593]]

 [[379 587]]

 [[374 577]]

 [[357 563]]

 [[350 555]]

 [[345 554]]

 [[336 543]]

 [[337 538]]

 [[341 534]]

 [[346 532]]

 [[364 537]]

 [[370 546]]

 [[378 550]]

 [[387 568]]

 [[397 576]]

 [[397 578]]

 [[390 584]]

 [[391 589]]

 [[397 583]]

 [[403 580]]

 [[403 576]]

 [[399 570]]

 [[395 570]]

 [[389 564]]

 [[387 557]]

 [[382 552]]

 [[382 543]]

 [[375 544]]

 [[370 540]]

 [[369 534]]

 [[373 533]]

 [[373 530]]

 [[371 528]]

 [[369 529]]

 [[369 533]]

 [[356 532]]

 [[346 527]]]","[378, 573]",1294.0,207.04
8,"[[[387 506]]

 [[380 518]]

 [[380 522]]

 [[385 532]]

 [[392 539]]

 [[393 542]]

 [[402 542]]

 [[405 549]]

 [[413 555]]

 [[413 561]]

 [[418 563]]

 [[425 572]]

 [[424 580]]

 [[435 588]]

 [[435 597]]

 [[443 605]]

 [[445 614]]

 [[451 615]]

 [[457 609]]

 [[457 605]]

 [[453 596]]

 [[453 589]]

 [[443 571]]

 [[435 565]]

 [[430 553]]

 [[423 545]]

 [[422 539]]

 [[418 533]]

 [[419 527]]

 [[414 521]]

 [[414 517]]

 [[406 516]]

 [[401 508]]

 [[396 505]]]","[418, 553]",2353.0,376.48
9,"[[[ 19 470]]

 [[ 19 476]]

 [[ 14 479]]

 [[ 14 481]]

 [[ 11 484]]

 [[ 10 501]]

 [[ 13 504]]

 [[ 13 507]]

 [[ 17 513]]

 [[ 21 526]]

 [[ 23 526]]

 [[ 24 519]]

 [[ 27 517]]

 [[ 33 518]]

 [[ 36 516]]

 [[ 37 507]]

 [[ 26 484]]

 [[ 19 475]]]","[22, 500]",787.0,125.92
