,contour,moments,area_pixels,area_μm^2
0,"[[[647 703]]

 [[635 708]]

 [[623 725]]

 [[623 738]]

 [[629 744]]

 [[635 744]]

 [[635 739]]

 [[638 737]]

 [[644 725]]

 [[648 714]]]","[635, 723]",615.5,71.69565166746264
1,"[[[190 686]]

 [[178 684]]

 [[171 688]]

 [[175 694]]

 [[174 698]]

 [[163 696]]

 [[159 700]]

 [[162 711]]

 [[166 716]]

 [[170 717]]

 [[178 715]]

 [[185 705]]

 [[188 705]]

 [[191 702]]

 [[195 701]]

 [[195 694]]]","[177, 700]",703.0,81.88796607997764
2,"[[[689 645]]

 [[681 642]]

 [[676 638]]

 [[659 637]]

 [[658 639]]

 [[652 639]]

 [[643 643]]

 [[639 647]]

 [[628 673]]

 [[629 682]]

 [[636 690]]

 [[636 692]]

 [[643 693]]

 [[645 691]]

 [[658 690]]

 [[664 684]]

 [[670 681]]

 [[686 662]]

 [[686 653]]

 [[689 650]]]","[657, 663]",2336.5,272.1639157124719
3,"[[[262 618]]

 [[256 623]]

 [[251 633]]

 [[251 654]]

 [[253 655]]

 [[257 664]]

 [[268 665]]

 [[274 669]]

 [[277 667]]

 [[283 657]]

 [[287 647]]

 [[287 639]]

 [[285 632]]

 [[280 628]]

 [[280 622]]

 [[278 619]]]","[268, 642]",1421.5,165.58142785588652
4,"[[[608 608]]

 [[591 612]]

 [[581 622]]

 [[577 629]]

 [[578 640]]

 [[577 646]]

 [[575 648]]

 [[574 663]]

 [[571 667]]

 [[565 667]]

 [[564 672]]

 [[568 679]]

 [[574 681]]

 [[579 686]]

 [[579 688]]

 [[590 689]]

 [[593 686]]

 [[608 681]]

 [[611 676]]

 [[611 670]]

 [[619 664]]

 [[628 644]]

 [[630 635]]

 [[628 634]]

 [[628 632]]

 [[616 615]]]","[597, 648]",3315.0,386.143111742711
5,"[[[706 602]]

 [[695 602]]

 [[683 612]]

 [[683 629]]

 [[692 634]]

 [[693 638]]

 [[694 635]]

 [[702 629]]

 [[705 623]]

 [[705 619]]

 [[708 613]]

 [[708 604]]]","[695, 617]",626.0,72.91872939696444
6,"[[[406 594]]

 [[407 606]]

 [[415 614]]

 [[415 616]]

 [[423 625]]

 [[428 634]]

 [[445 635]]

 [[457 632]]

 [[466 632]]

 [[473 628]]

 [[487 628]]

 [[495 630]]

 [[511 629]]

 [[510 618]]

 [[512 616]]

 [[516 618]]

 [[523 628]]

 [[541 630]]

 [[552 634]]

 [[560 630]]

 [[563 625]]

 [[563 623]]

 [[561 623]]

 [[557 630]]

 [[551 631]]

 [[542 626]]

 [[533 624]]

 [[527 616]]

 [[523 603]]

 [[513 603]]

 [[513 595]]

 [[515 594]]

 [[519 596]]

 [[514 589]]

 [[512 589]]

 [[513 593]]

 [[509 595]]

 [[505 600]]

 [[501 600]]

 [[495 596]]

 [[492 596]]

 [[488 592]]

 [[435 590]]

 [[418 583]]

 [[412 582]]

 [[409 584]]

 [[408 591]]]","[465, 610]",4413.0,514.0420971706135
7,"[[[305 577]]

 [[294 578]]

 [[287 583]]

 [[281 594]]

 [[285 612]]

 [[291 622]]

 [[298 622]]

 [[310 611]]

 [[312 606]]

 [[310 595]]

 [[305 594]]

 [[302 590]]

 [[302 588]]

 [[306 585]]]","[296, 599]",951.5,110.83413901152024
8,"[[[ 52 528]]

 [[ 46 531]]

 [[ 38 538]]

 [[ 38 548]]

 [[ 31 554]]

 [[ 30 569]]

 [[ 31 573]]

 [[ 37 580]]

 [[ 48 579]]

 [[ 55 581]]

 [[ 67 565]]

 [[ 69 553]]

 [[ 68 546]]

 [[ 65 543]]

 [[ 60 532]]]","[49, 556]",1476.5,171.9880254866102
9,"[[[529 524]]

 [[526 525]]

 [[526 528]]

 [[529 526]]

 [[531 528]]

 [[527 535]]

 [[525 557]]

 [[525 580]]

 [[533 587]]

 [[535 597]]

 [[547 620]]

 [[550 622]]

 [[558 622]]

 [[560 621]]

 [[562 615]]

 [[566 611]]

 [[570 610]]

 [[575 612]]

 [[578 609]]

 [[583 608]]

 [[596 597]]

 [[596 594]]

 [[598 592]]

 [[598 586]]

 [[595 583]]

 [[595 578]]

 [[592 575]]

 [[587 575]]

 [[585 573]]

 [[586 567]]

 [[588 565]]

 [[594 565]]

 [[594 562]]

 [[591 556]]

 [[586 552]]

 [[569 552]]

 [[566 550]]

 [[561 550]]

 [[546 543]]

 [[544 540]]

 [[537 536]]

 [[533 536]]

 [[531 533]]

 [[532 525]]]","[558, 577]",4205.0,489.8135097671493
