,contour,moments,area_pixels,area_μm^2
0,"[[[520 693]]

 [[511 710]]

 [[511 719]]

 [[523 734]]

 [[529 738]]

 [[536 740]]

 [[549 738]]

 [[549 736]]

 [[539 733]]

 [[530 726]]

 [[520 713]]

 [[519 706]]

 [[520 700]]

 [[523 695]]

 [[523 692]]]","[524, 722]",503.5,58.649489219443446
1,"[[[ 58 688]]

 [[ 55 687]]

 [[ 51 689]]

 [[ 44 685]]

 [[ 39 685]]

 [[ 36 687]]

 [[ 32 695]]

 [[ 24 702]]

 [[ 22 707]]

 [[ 24 719]]

 [[ 24 737]]

 [[ 27 737]]

 [[ 43 718]]

 [[ 45 708]]

 [[ 52 700]]

 [[ 58 696]]]","[37, 706]",951.5,110.83413901152024
2,"[[[544 683]]

 [[542 684]]

 [[534 697]]

 [[531 706]]

 [[532 709]]

 [[540 716]]

 [[542 722]]

 [[552 726]]

 [[556 726]]

 [[569 705]]

 [[571 698]]

 [[569 693]]

 [[560 683]]]","[551, 702]",1187.5,138.32426702698925
3,"[[[451 708]]

 [[453 710]]

 [[456 710]]

 [[462 706]]

 [[470 705]]

 [[473 702]]

 [[480 702]]

 [[487 695]]

 [[500 692]]

 [[501 690]]

 [[514 689]]

 [[513 682]]

 [[491 679]]

 [[489 677]]

 [[486 677]]

 [[478 671]]

 [[460 662]]

 [[457 665]]

 [[457 676]]

 [[455 679]]

 [[456 684]]

 [[453 693]]

 [[453 704]]]","[474, 686]",1450.0,168.90121026453426
4,"[[[322 636]]

 [[324 658]]

 [[320 659]]

 [[318 663]]

 [[322 664]]

 [[323 667]]

 [[326 667]]

 [[327 670]]

 [[342 684]]

 [[344 688]]

 [[354 698]]

 [[358 698]]

 [[360 692]]

 [[367 686]]

 [[376 686]]

 [[379 689]]

 [[383 686]]

 [[386 686]]

 [[392 692]]

 [[400 693]]

 [[404 697]]

 [[406 697]]

 [[412 692]]

 [[420 693]]

 [[427 685]]

 [[428 680]]

 [[425 676]]

 [[420 676]]

 [[416 680]]

 [[412 680]]

 [[407 677]]

 [[402 669]]

 [[403 657]]

 [[395 651]]

 [[394 647]]

 [[384 635]]

 [[367 635]]

 [[361 631]]

 [[351 631]]

 [[343 633]]

 [[337 641]]

 [[341 662]]

 [[337 666]]

 [[334 665]]

 [[334 663]]

 [[331 661]]

 [[323 648]]

 [[325 637]]]","[370, 665]",3988.5,464.59481182075507
5,"[[[383 617]]

 [[380 620]]

 [[384 622]]

 [[402 641]]

 [[408 645]]

 [[414 645]]

 [[420 651]]

 [[421 660]]

 [[432 660]]

 [[435 663]]

 [[437 671]]

 [[440 676]]

 [[438 687]]

 [[434 696]]

 [[429 701]]

 [[421 705]]

 [[408 706]]

 [[405 703]]

 [[397 703]]

 [[391 707]]

 [[388 707]]

 [[382 702]]

 [[378 694]]

 [[376 694]]

 [[372 699]]

 [[368 701]]

 [[361 702]]

 [[362 706]]

 [[371 711]]

 [[384 710]]

 [[393 720]]

 [[402 721]]

 [[406 720]]

 [[410 716]]

 [[415 716]]

 [[429 709]]

 [[434 708]]

 [[439 704]]

 [[446 678]]

 [[445 672]]

 [[448 654]]

 [[443 646]]

 [[431 634]]

 [[425 631]]

 [[421 631]]

 [[419 629]]

 [[414 630]]

 [[410 626]]

 [[399 623]]

 [[393 618]]]","[414, 670]",2290.0,266.7474286246782
6,"[[[255 616]]

 [[252 618]]

 [[245 619]]

 [[242 622]]

 [[242 630]]

 [[240 634]]

 [[234 639]]

 [[235 647]]

 [[233 654]]

 [[238 663]]

 [[245 670]]

 [[250 672]]

 [[264 672]]

 [[275 667]]

 [[287 654]]

 [[291 653]]

 [[292 638]]

 [[281 628]]

 [[281 626]]

 [[277 629]]

 [[274 629]]

 [[270 626]]

 [[270 621]]

 [[267 618]]]","[260, 645]",2355.5,274.3771039849037
7,"[[[239 606]]

 [[239 609]]

 [[251 606]]

 [[254 603]]

 [[270 606]]

 [[291 622]]

 [[295 622]]

 [[300 627]]

 [[303 638]]

 [[305 640]]

 [[305 654]]

 [[307 655]]

 [[308 663]]

 [[310 641]]

 [[309 635]]

 [[307 631]]

 [[303 628]]

 [[299 618]]

 [[291 612]]

 [[286 605]]

 [[263 598]]

 [[247 601]]]","[282, 616]",596.5,69.4824633950308
8,"[[[652 606]]

 [[652 610]]

 [[657 615]]

 [[659 622]]

 [[670 626]]

 [[671 629]]

 [[675 630]]

 [[676 633]]

 [[679 635]]

 [[680 640]]

 [[677 643]]

 [[673 643]]

 [[666 639]]

 [[657 630]]

 [[653 630]]

 [[651 632]]

 [[653 638]]

 [[656 640]]

 [[657 643]]

 [[667 650]]

 [[670 650]]

 [[677 654]]

 [[684 654]]

 [[686 657]]

 [[696 657]]

 [[697 654]]

 [[695 652]]

 [[695 648]]

 [[700 643]]

 [[705 641]]

 [[719 641]]

 [[721 646]]

 [[723 646]]

 [[723 644]]

 [[728 638]]

 [[731 627]]

 [[731 614]]

 [[729 609]]

 [[721 598]]

 [[716 596]]

 [[704 587]]

 [[696 586]]

 [[689 582]]

 [[681 583]]

 [[686 586]]

 [[687 589]]

 [[705 595]]

 [[715 606]]

 [[714 612]]

 [[701 612]]

 [[696 608]]

 [[689 596]]

 [[686 596]]

 [[682 601]]

 [[678 603]]

 [[674 603]]

 [[670 600]]

 [[667 592]]

 [[664 592]]

 [[660 600]]]","[692, 622]",3301.0,384.51234143670865
9,"[[[111 572]]

 [[106 579]]

 [[105 585]]

 [[102 587]]

 [[100 591]]

 [[101 597]]

 [[ 95 610]]

 [[ 95 620]]

 [[ 99 624]]

 [[102 633]]

 [[107 634]]

 [[113 630]]

 [[119 631]]

 [[127 628]]

 [[131 629]]

 [[137 634]]

 [[145 636]]

 [[158 631]]

 [[161 626]]

 [[167 622]]

 [[170 617]]

 [[170 613]]

 [[174 608]]

 [[174 604]]

 [[169 596]]

 [[168 588]]

 [[153 587]]

 [[150 582]]

 [[143 582]]

 [[140 579]]

 [[137 572]]

 [[135 571]]

 [[126 571]]

 [[122 568]]

 [[119 568]]]","[132, 604]",3754.0,437.27940919521484
