,contour,moments,area_pixels
0,"[[[ 914  628]]

 [[ 914  632]]

 [[ 919  637]]

 [[ 921  643]]

 [[ 919  646]]

 [[ 919  651]]

 [[ 915  654]]

 [[ 907  670]]

 [[ 905  682]]

 [[ 906  684]]

 [[ 912  685]]

 [[ 917  690]]

 [[ 947  694]]

 [[ 949  696]]

 [[ 961  699]]

 [[ 964  702]]

 [[ 983  710]]

 [[ 985  708]]

 [[ 991  708]]

 [[1006  696]]

 [[1016  692]]

 [[1024  684]]

 [[1026  680]]

 [[1026  673]]

 [[1021  658]]

 [[1023  643]]

 [[1015  634]]

 [[1005  630]]

 [[ 996  630]]

 [[ 990  632]]

 [[ 989  634]]

 [[ 967  634]]

 [[ 958  630]]

 [[ 952  622]]

 [[ 952  620]]

 [[ 950  619]]

 [[ 950  617]]

 [[ 947  615]]

 [[ 947  613]]

 [[ 941  610]]

 [[ 931  615]]

 [[ 925  622]]]","[966, 662]",7770.0
1,"[[[295 989]]

 [[304 989]]

 [[307 991]]

 [[311 991]]

 [[313 993]]

 [[319 993]]

 [[326 989]]

 [[331 989]]

 [[341 984]]

 [[344 984]]

 [[350 978]]

 [[348 976]]

 [[339 976]]

 [[329 973]]

 [[323 966]]

 [[322 962]]

 [[316 960]]

 [[309 955]]

 [[308 958]]

 [[310 964]]

 [[308 972]]

 [[305 975]]

 [[298 977]]

 [[295 983]]]","[318, 978]",966.5
2,"[[[611 948]]

 [[603 941]]

 [[595 940]]

 [[585 935]]

 [[573 940]]

 [[572 942]]

 [[554 946]]

 [[549 950]]

 [[549 953]]

 [[558 961]]

 [[562 962]]

 [[576 960]]

 [[576 957]]

 [[578 955]]

 [[580 955]]

 [[585 960]]

 [[593 959]]

 [[599 953]]

 [[610 952]]]","[579, 949]",984.0
3,"[[[479 956]]

 [[470 954]]

 [[467 951]]

 [[466 947]]

 [[470 939]]

 [[467 936]]

 [[464 928]]

 [[442 924]]

 [[433 920]]

 [[429 925]]

 [[425 937]]

 [[415 943]]

 [[397 942]]

 [[391 937]]

 [[382 939]]

 [[377 935]]

 [[379 931]]

 [[378 928]]

 [[369 929]]

 [[361 939]]

 [[359 945]]

 [[349 955]]

 [[349 957]]

 [[343 965]]

 [[345 967]]

 [[355 967]]

 [[359 969]]

 [[359 971]]

 [[361 972]]

 [[361 978]]

 [[357 985]]

 [[361 988]]

 [[416 988]]

 [[441 985]]

 [[449 976]]

 [[455 973]]

 [[468 972]]

 [[472 968]]

 [[472 966]]

 [[478 962]]]","[412, 958]",5903.0
4,"[[[618 902]]

 [[615 901]]

 [[613 897]]

 [[611 897]]

 [[603 891]]

 [[595 889]]

 [[593 891]]

 [[592 896]]

 [[588 896]]

 [[585 894]]

 [[578 895]]

 [[575 898]]

 [[573 898]]

 [[571 904]]

 [[573 907]]

 [[581 909]]

 [[589 906]]

 [[610 906]]

 [[613 904]]

 [[618 904]]]","[593, 900]",536.0
5,"[[[425 879]]

 [[418 878]]

 [[405 891]]

 [[398 893]]

 [[390 898]]

 [[384 898]]

 [[384 903]]

 [[395 905]]

 [[398 909]]

 [[395 920]]

 [[399 928]]

 [[405 933]]

 [[414 933]]

 [[417 931]]

 [[417 929]]

 [[412 924]]

 [[409 918]]

 [[408 910]]

 [[414 904]]

 [[422 892]]

 [[427 881]]]","[406, 904]",938.5
6,"[[[509 851]]

 [[510 854]]

 [[518 862]]

 [[522 876]]

 [[530 880]]

 [[531 886]]

 [[536 895]]

 [[537 908]]

 [[534 913]]

 [[534 918]]

 [[546 912]]

 [[557 910]]

 [[556 907]]

 [[544 898]]

 [[542 898]]

 [[541 895]]

 [[544 891]]

 [[562 891]]

 [[572 888]]

 [[578 876]]

 [[574 876]]

 [[560 884]]

 [[552 884]]

 [[527 859]]

 [[513 851]]]","[540, 883]",1138.5
7,"[[[515 831]]

 [[514 842]]

 [[526 849]]

 [[529 848]]

 [[528 838]]

 [[533 838]]

 [[535 843]]

 [[534 847]]

 [[536 849]]

 [[536 851]]

 [[533 854]]

 [[556 875]]

 [[566 872]]

 [[571 868]]

 [[572 864]]

 [[590 862]]

 [[592 866]]

 [[588 875]]

 [[586 876]]

 [[587 880]]

 [[599 879]]

 [[601 881]]

 [[606 882]]

 [[622 881]]

 [[627 889]]

 [[648 895]]

 [[654 901]]

 [[658 911]]

 [[653 915]]

 [[639 916]]

 [[636 918]]

 [[591 918]]

 [[590 922]]

 [[592 924]]

 [[598 926]]

 [[618 926]]

 [[627 932]]

 [[636 928]]

 [[645 929]]

 [[654 919]]

 [[661 917]]

 [[666 918]]

 [[673 924]]

 [[675 924]]

 [[675 921]]

 [[672 918]]

 [[671 914]]

 [[661 898]]

 [[662 888]]

 [[652 876]]

 [[649 876]]

 [[647 874]]

 [[647 871]]

 [[645 869]]

 [[639 871]]

 [[636 876]]

 [[630 879]]

 [[614 880]]

 [[609 875]]

 [[609 871]]

 [[598 864]]

 [[596 859]]

 [[597 856]]

 [[617 857]]

 [[622 850]]

 [[623 843]]

 [[621 832]]

 [[615 833]]

 [[611 830]]

 [[611 828]]

 [[617 824]]

 [[607 822]]

 [[595 823]]

 [[589 826]]

 [[579 827]]

 [[567 826]]

 [[554 828]]

 [[519 828]]]","[592, 863]",5350.0
8,"[[[290 861]]

 [[290 869]]

 [[294 878]]

 [[298 874]]

 [[303 874]]

 [[304 877]]

 [[307 878]]

 [[308 883]]

 [[322 882]]

 [[325 879]]

 [[327 879]]

 [[345 861]]

 [[346 858]]

 [[353 855]]

 [[357 855]]

 [[359 857]]

 [[366 857]]

 [[382 863]]

 [[386 868]]

 [[386 871]]

 [[390 878]]

 [[397 885]]

 [[403 882]]

 [[412 871]]

 [[432 871]]

 [[436 875]]

 [[437 882]]

 [[433 890]]

 [[427 897]]

 [[426 905]]

 [[434 908]]

 [[447 916]]

 [[468 920]]

 [[476 928]]

 [[484 928]]

 [[487 922]]

 [[493 918]]

 [[494 911]]

 [[490 910]]

 [[489 907]]

 [[492 906]]

 [[494 901]]

 [[504 901]]

 [[507 904]]

 [[511 914]]

 [[517 917]]

 [[523 917]]

 [[526 913]]

 [[521 908]]

 [[525 900]]

 [[515 892]]

 [[514 888]]

 [[507 888]]

 [[506 890]]

 [[496 892]]

 [[493 889]]

 [[493 885]]

 [[501 880]]

 [[514 879]]

 [[515 877]]

 [[513 867]]

 [[502 855]]

 [[502 836]]

 [[489 839]]

 [[482 839]]

 [[479 837]]

 [[467 835]]

 [[465 833]]

 [[457 832]]

 [[457 835]]

 [[453 839]]

 [[447 839]]

 [[437 829]]

 [[433 829]]

 [[433 835]]

 [[441 841]]

 [[446 841]]

 [[447 844]]

 [[442 845]]

 [[431 842]]

 [[426 844]]

 [[418 839]]

 [[419 823]]

 [[416 820]]

 [[412 820]]

 [[410 823]]

 [[402 826]]

 [[390 828]]

 [[385 827]]

 [[373 835]]

 [[364 838]]

 [[355 839]]

 [[353 841]]

 [[341 842]]

 [[328 853]]

 [[325 853]]

 [[322 856]]

 [[314 856]]

 [[307 859]]

 [[294 858]]]","[431, 868]",10389.0
9,"[[[386 787]]

 [[386 789]]

 [[391 792]]

 [[390 798]]

 [[393 800]]

 [[397 814]]

 [[406 815]]

 [[411 813]]

 [[415 809]]

 [[416 794]]

 [[413 791]]

 [[407 789]]

 [[397 789]]

 [[389 786]]]","[403, 800]",561.5
10,"[[[644 793]]

 [[637 788]]

 [[635 780]]

 [[629 773]]

 [[612 776]]

 [[612 794]]

 [[607 804]]

 [[599 813]]

 [[597 813]]

 [[596 815]]

 [[592 814]]

 [[592 816]]

 [[617 815]]

 [[618 809]]

 [[627 803]]

 [[635 801]]

 [[639 795]]]","[620, 794]",943.5
11,"[[[405 770]]

 [[405 773]]

 [[410 778]]

 [[417 781]]

 [[423 787]]

 [[422 806]]

 [[430 816]]

 [[437 817]]

 [[446 822]]

 [[466 822]]

 [[477 827]]

 [[485 827]]

 [[493 824]]

 [[498 824]]

 [[499 820]]

 [[504 816]]

 [[524 821]]

 [[531 819]]

 [[581 816]]

 [[584 815]]

 [[584 811]]

 [[578 806]]

 [[578 800]]

 [[580 798]]

 [[583 798]]

 [[589 804]]

 [[598 804]]

 [[598 801]]

 [[594 798]]

 [[594 796]]

 [[598 792]]

 [[604 792]]

 [[606 789]]

 [[606 784]]

 [[602 778]]

 [[597 778]]

 [[576 772]]

 [[562 772]]

 [[558 779]]

 [[564 782]]

 [[563 785]]

 [[556 785]]

 [[553 782]]

 [[550 782]]

 [[547 785]]

 [[542 785]]

 [[541 780]]

 [[534 777]]

 [[526 769]]

 [[512 770]]

 [[498 760]]

 [[484 753]]

 [[476 746]]

 [[470 745]]

 [[465 742]]

 [[450 741]]

 [[439 737]]

 [[433 738]]

 [[432 740]]

 [[422 744]]

 [[415 745]]

 [[412 748]]

 [[412 752]]

 [[415 754]]

 [[416 761]]

 [[421 762]]

 [[422 765]]

 [[418 766]]

 [[415 763]]

 [[413 763]]

 [[410 767]]

 [[408 767]]]","[492, 787]",10349.5
12,"[[[338 750]]

 [[338 753]]

 [[353 756]]

 [[355 758]]

 [[356 763]]

 [[361 765]]

 [[376 765]]

 [[384 767]]

 [[395 766]]

 [[402 762]]

 [[400 760]]

 [[389 761]]

 [[383 757]]

 [[374 756]]

 [[363 751]]

 [[355 744]]

 [[349 735]]

 [[345 737]]

 [[342 743]]

 [[342 747]]]","[364, 755]",681.0
13,"[[[659 691]]

 [[657 691]]

 [[649 685]]

 [[636 686]]

 [[628 691]]

 [[628 694]]

 [[625 697]]

 [[621 707]]

 [[612 713]]

 [[606 712]]

 [[599 708]]

 [[589 707]]

 [[588 709]]

 [[591 716]]

 [[591 721]]

 [[598 736]]

 [[607 746]]

 [[612 749]]

 [[618 748]]

 [[633 739]]

 [[652 740]]

 [[655 737]]

 [[655 729]]

 [[653 724]]

 [[654 711]]

 [[663 701]]

 [[662 694]]]","[628, 718]",2778.5
14,"[[[379 651]]

 [[375 673]]

 [[371 685]]

 [[371 691]]

 [[373 692]]

 [[373 694]]

 [[369 697]]

 [[368 708]]

 [[358 720]]

 [[358 728]]

 [[360 733]]

 [[371 742]]

 [[378 745]]

 [[392 745]]

 [[408 737]]

 [[418 735]]

 [[427 730]]

 [[444 728]]

 [[468 733]]

 [[479 737]]

 [[486 744]]

 [[492 746]]

 [[495 749]]

 [[515 759]]

 [[522 759]]

 [[526 762]]

 [[532 761]]

 [[533 759]]

 [[553 752]]

 [[554 748]]

 [[557 749]]

 [[557 752]]

 [[567 749]]

 [[564 730]]

 [[549 717]]

 [[550 710]]

 [[561 701]]

 [[563 701]]

 [[568 695]]

 [[567 688]]

 [[561 681]]

 [[554 678]]

 [[546 678]]

 [[520 682]]

 [[507 688]]

 [[484 688]]

 [[454 678]]

 [[442 672]]

 [[441 670]]

 [[433 667]]

 [[430 664]]

 [[425 663]]

 [[407 653]]

 [[402 652]]

 [[399 649]]

 [[388 646]]

 [[385 649]]]","[460, 708]",13652.5
15,"[[[639 943]]

 [[641 953]]

 [[645 956]]

 [[650 956]]

 [[659 959]]

 [[680 972]]

 [[700 982]]

 [[725 982]]

 [[747 979]]

 [[761 981]]

 [[771 980]]

 [[777 981]]

 [[789 993]]

 [[802 992]]

 [[806 987]]

 [[812 985]]

 [[814 989]]

 [[822 988]]

 [[819 983]]

 [[821 972]]

 [[818 971]]

 [[818 969]]

 [[821 968]]

 [[821 964]]

 [[808 960]]

 [[800 952]]

 [[793 952]]

 [[786 955]]

 [[781 955]]

 [[776 958]]

 [[763 957]]

 [[759 953]]

 [[754 938]]

 [[749 930]]

 [[743 925]]

 [[739 924]]

 [[728 924]]

 [[725 926]]

 [[720 926]]

 [[709 931]]

 [[706 934]]

 [[700 934]]

 [[697 936]]

 [[663 934]]

 [[661 936]]

 [[654 937]]

 [[651 941]]]","[731, 958]",6644.5
16,"[[[864 884]]

 [[864 892]]

 [[861 905]]

 [[875 907]]

 [[879 911]]

 [[879 913]]

 [[875 917]]

 [[882 920]]

 [[886 920]]

 [[890 924]]

 [[890 926]]

 [[883 934]]

 [[885 945]]

 [[885 965]]

 [[887 967]]

 [[932 969]]

 [[941 963]]

 [[948 962]]

 [[958 958]]

 [[971 958]]

 [[983 953]]

 [[983 950]]

 [[980 947]]

 [[980 940]]

 [[983 931]]

 [[975 925]]

 [[975 923]]

 [[973 922]]

 [[973 917]]

 [[957 917]]

 [[955 915]]

 [[947 914]]

 [[939 905]]

 [[933 888]]

 [[930 888]]

 [[929 890]]

 [[924 890]]

 [[920 887]]

 [[906 889]]

 [[903 887]]

 [[893 886]]

 [[889 884]]

 [[882 886]]]","[921, 928]",6608.5
17,"[[[939 882]]

 [[947 906]]

 [[956 905]]

 [[961 909]]

 [[961 911]]

 [[970 909]]

 [[965 904]]

 [[964 897]]

 [[961 893]]

 [[961 888]]

 [[956 882]]]","[953, 895]",489.5
18,"[[[779 886]]

 [[791 896]]

 [[798 898]]

 [[806 898]]

 [[831 891]]

 [[845 882]]

 [[857 881]]

 [[856 878]]

 [[847 881]]

 [[839 881]]

 [[835 877]]

 [[833 877]]

 [[832 875]]

 [[820 868]]

 [[816 868]]

 [[813 866]]

 [[797 867]]

 [[790 878]]

 [[785 882]]

 [[779 884]]]","[810, 882]",1317.0
19,"[[[671 880]]

 [[671 883]]

 [[674 887]]

 [[674 892]]

 [[671 897]]

 [[679 910]]

 [[686 918]]

 [[689 918]]

 [[691 916]]

 [[697 917]]

 [[708 915]]

 [[715 907]]

 [[727 906]]

 [[731 909]]

 [[732 915]]

 [[741 916]]

 [[756 927]]

 [[762 937]]

 [[766 948]]

 [[768 949]]

 [[775 949]]

 [[789 945]]

 [[808 945]]

 [[819 954]]

 [[834 962]]

 [[840 962]]

 [[841 960]]

 [[846 959]]

 [[850 962]]

 [[858 964]]

 [[857 960]]

 [[854 960]]

 [[850 956]]

 [[851 952]]

 [[856 952]]

 [[861 958]]

 [[865 959]]

 [[872 966]]

 [[874 966]]

 [[876 963]]

 [[877 944]]

 [[874 936]]

 [[866 931]]

 [[855 934]]

 [[853 931]]

 [[854 924]]

 [[846 918]]

 [[847 905]]

 [[854 892]]

 [[853 889]]

 [[846 892]]

 [[841 892]]

 [[840 894]]

 [[834 897]]

 [[824 899]]

 [[821 903]]

 [[794 905]]

 [[786 902]]

 [[779 895]]

 [[778 891]]

 [[767 882]]

 [[762 874]]

 [[749 875]]

 [[748 877]]

 [[743 878]]

 [[733 874]]

 [[728 874]]

 [[725 871]]

 [[716 870]]

 [[713 865]]

 [[697 864]]

 [[694 868]]

 [[686 866]]

 [[677 872]]

 [[679 876]]

 [[683 877]]

 [[682 881]]]","[774, 913]",9369.5
20,"[[[629 811]]

 [[634 817]]

 [[634 820]]

 [[629 824]]

 [[635 842]]

 [[635 849]]

 [[632 857]]

 [[633 859]]

 [[640 857]]

 [[652 857]]

 [[661 862]]

 [[664 866]]

 [[672 869]]

 [[671 865]]

 [[668 862]]

 [[669 858]]

 [[681 860]]

 [[686 856]]

 [[701 857]]

 [[702 854]]

 [[706 853]]

 [[709 855]]

 [[709 857]]

 [[717 857]]

 [[724 859]]

 [[729 864]]

 [[745 864]]

 [[748 860]]

 [[752 860]]

 [[757 864]]

 [[772 869]]

 [[785 869]]

 [[785 859]]

 [[768 847]]

 [[763 832]]

 [[754 830]]

 [[754 832]]

 [[750 836]]

 [[729 837]]

 [[714 831]]

 [[703 837]]

 [[698 837]]

 [[692 833]]

 [[688 833]]

 [[682 836]]

 [[675 836]]

 [[645 810]]

 [[639 808]]]","[698, 844]",4329.0
21,"[[[851 835]]

 [[851 812]]

 [[849 805]]

 [[839 800]]

 [[831 800]]

 [[834 802]]

 [[834 806]]

 [[828 807]]

 [[817 793]]

 [[802 796]]

 [[801 802]]

 [[777 796]]

 [[770 796]]

 [[756 813]]

 [[752 815]]

 [[757 821]]

 [[765 821]]

 [[775 819]]

 [[789 810]]

 [[799 809]]

 [[809 811]]

 [[835 819]]

 [[847 829]]

 [[847 835]]]","[805, 809]",1612.5
22,"[[[639 770]]

 [[639 773]]

 [[646 779]]

 [[645 785]]

 [[650 788]]

 [[658 790]]

 [[665 795]]

 [[683 798]]

 [[684 800]]

 [[702 802]]

 [[707 797]]

 [[714 796]]

 [[720 792]]

 [[723 792]]

 [[733 800]]

 [[747 801]]

 [[750 798]]

 [[753 790]]

 [[759 785]]

 [[759 782]]

 [[755 780]]

 [[757 768]]

 [[750 770]]

 [[749 772]]

 [[746 772]]

 [[744 775]]

 [[739 775]]

 [[737 773]]

 [[732 772]]

 [[718 772]]

 [[711 768]]

 [[706 768]]

 [[695 764]]

 [[688 758]]

 [[672 751]]

 [[663 744]]

 [[661 744]]

 [[657 757]]

 [[661 761]]

 [[661 764]]

 [[669 770]]

 [[669 776]]

 [[665 777]]

 [[663 775]]

 [[657 775]]

 [[656 770]]

 [[652 764]]

 [[647 769]]]","[697, 779]",3457.5
23,"[[[854 746]]

 [[847 734]]

 [[837 730]]

 [[805 730]]

 [[787 736]]

 [[779 736]]

 [[772 738]]

 [[769 742]]

 [[767 742]]

 [[767 744]]

 [[764 747]]

 [[761 748]]

 [[750 760]]

 [[749 764]]

 [[764 765]]

 [[766 767]]

 [[766 775]]

 [[768 775]]

 [[771 779]]

 [[775 779]]

 [[777 770]]

 [[780 767]]

 [[782 767]]

 [[787 772]]

 [[788 776]]

 [[790 777]]

 [[790 780]]

 [[796 786]]

 [[793 780]]

 [[793 761]]

 [[805 746]]

 [[811 746]]

 [[817 749]]

 [[821 749]]

 [[827 752]]

 [[833 752]]

 [[846 757]]

 [[854 752]]]","[799, 749]",2427.0
24,"[[[889 706]]

 [[887 709]]

 [[885 709]]

 [[877 716]]

 [[873 723]]

 [[873 728]]

 [[871 730]]

 [[865 730]]

 [[859 738]]

 [[859 742]]

 [[867 750]]

 [[871 752]]

 [[871 756]]

 [[875 761]]

 [[874 765]]

 [[870 765]]

 [[868 763]]

 [[859 762]]

 [[856 759]]

 [[856 761]]

 [[859 762]]

 [[858 768]]

 [[860 770]]

 [[863 798]]

 [[866 800]]

 [[865 807]]

 [[867 811]]

 [[860 826]]

 [[860 829]]

 [[862 830]]

 [[862 838]]

 [[859 840]]

 [[860 843]]

 [[864 848]]

 [[869 848]]

 [[879 838]]

 [[894 834]]

 [[901 830]]

 [[923 823]]

 [[946 820]]

 [[961 820]]

 [[965 819]]

 [[966 816]]

 [[970 813]]

 [[975 814]]

 [[971 822]]

 [[974 829]]

 [[974 835]]

 [[977 834]]

 [[991 819]]

 [[991 815]]

 [[987 814]]

 [[979 807]]

 [[972 794]]

 [[967 767]]

 [[969 753]]

 [[965 754]]

 [[960 758]]

 [[953 758]]

 [[951 748]]

 [[931 749]]

 [[921 743]]

 [[916 742]]

 [[913 739]]

 [[907 739]]

 [[900 736]]

 [[887 725]]

 [[887 720]]

 [[891 713]]

 [[891 706]]]","[911, 784]",9889.5
25,"[[[896 720]]

 [[897 726]]

 [[918 732]]

 [[921 736]]

 [[930 740]]

 [[931 742]]

 [[954 742]]

 [[958 744]]

 [[961 748]]

 [[964 748]]

 [[968 745]]

 [[974 745]]

 [[973 734]]

 [[975 725]]

 [[980 722]]

 [[980 720]]

 [[971 717]]

 [[958 708]]

 [[949 704]]

 [[934 702]]

 [[916 696]]

 [[913 696]]

 [[906 703]]

 [[904 708]]

 [[900 710]]

 [[900 716]]]","[937, 721]",2616.5
26,"[[[909 641]]

 [[897 626]]

 [[893 625]]

 [[891 622]]

 [[880 618]]

 [[866 617]]

 [[857 620]]

 [[851 624]]

 [[844 624]]

 [[830 628]]

 [[806 629]]

 [[781 627]]

 [[762 631]]

 [[757 637]]

 [[755 637]]

 [[749 643]]

 [[746 650]]

 [[744 665]]

 [[738 678]]

 [[733 684]]

 [[732 690]]

 [[728 694]]

 [[725 694]]

 [[720 698]]

 [[713 700]]

 [[711 703]]

 [[705 706]]

 [[686 711]]

 [[671 711]]

 [[662 716]]

 [[663 735]]

 [[686 747]]

 [[703 753]]

 [[719 762]]

 [[732 762]]

 [[743 753]]

 [[758 734]]

 [[767 729]]

 [[786 727]]

 [[804 721]]

 [[818 719]]

 [[840 720]]

 [[841 722]]

 [[844 722]]

 [[847 725]]

 [[854 725]]

 [[872 716]]

 [[884 699]]

 [[888 682]]

 [[896 672]]

 [[896 669]]

 [[909 645]]]","[795, 685]",18654.5
