,contour,moments,area_pixels,area_μm^2
13,"[[[1013  543]]

 [[1013  549]]

 [[1018  547]]

 [[1024  553]]

 [[1028  560]]

 [[1032  560]]

 [[1039  567]]

 [[1042  567]]

 [[1046  564]]

 [[1054  568]]

 [[1057  567]]

 [[1058  556]]

 [[1056  552]]

 [[1049  554]]

 [[1041  546]]

 [[1034  543]]

 [[1022  544]]

 [[1018  546]]

 [[1016  545]]

 [[1016  543]]]","[1038, 554]",593.0,70.02751502698362
14,"[[[ 934  303]]

 [[ 932  310]]

 [[ 929  313]]

 [[ 927  313]]

 [[ 920  321]]

 [[ 920  323]]

 [[ 927  324]]

 [[ 926  339]]

 [[ 914  346]]

 [[ 914  349]]

 [[ 923  371]]

 [[ 924  378]]

 [[ 923  388]]

 [[ 918  401]]

 [[ 918  405]]

 [[ 944  437]]

 [[ 949  452]]

 [[ 946  461]]

 [[ 947  467]]

 [[ 951  467]]

 [[ 951  465]]

 [[ 954  464]]

 [[ 965  476]]

 [[ 972  480]]

 [[ 987  483]]

 [[ 997  483]]

 [[1004  488]]

 [[1013  491]]

 [[1020  491]]

 [[1025  494]]

 [[1030  494]]

 [[1037  498]]

 [[1062  501]]

 [[1066  503]]

 [[1070  502]]

 [[1077  497]]

 [[1085  498]]

 [[1086  487]]

 [[1090  483]]

 [[1092  477]]

 [[1097  473]]

 [[1102  466]]

 [[1102  463]]

 [[1104  462]]

 [[1105  457]]

 [[1108  453]]

 [[1110  447]]

 [[1110  434]]

 [[1102  417]]

 [[1086  398]]

 [[1084  392]]

 [[1087  390]]

 [[1091  390]]

 [[1095  392]]

 [[1097  396]]

 [[1101  394]]

 [[1098  391]]

 [[1096  391]]

 [[1089  383]]

 [[1084  383]]

 [[1084  389]]

 [[1079  390]]

 [[1071  383]]

 [[1065  381]]

 [[1048  367]]

 [[1042  365]]

 [[1035  359]]

 [[1024  354]]

 [[1018  348]]

 [[1019  344]]

 [[1030  340]]

 [[1039  331]]

 [[1042  330]]

 [[1046  332]]

 [[1052  332]]

 [[1065  340]]

 [[1076  340]]

 [[1077  343]]

 [[1079  343]]

 [[1079  340]]

 [[1076  340]]

 [[1075  337]]

 [[1066  329]]

 [[1047  316]]

 [[1042  317]]

 [[1042  325]]

 [[1031  323]]

 [[1026  319]]

 [[1026  316]]

 [[1029  311]]

 [[1027  304]]

 [[1017  299]]

 [[1009  300]]

 [[1005  304]]

 [[1005  308]]

 [[1010  313]]

 [[1010  317]]

 [[1008  319]]

 [[1004  317]]

 [[ 996  318]]

 [[ 990  313]]

 [[ 976  307]]

 [[ 962  307]]

 [[ 960  309]]

 [[ 952  308]]

 [[ 949  310]]

 [[ 949  312]]

 [[ 953  315]]

 [[ 958  316]]

 [[ 963  320]]

 [[ 970  321]]

 [[ 977  326]]

 [[ 986  327]]

 [[ 988  329]]

 [[ 999  329]]

 [[1009  337]]

 [[1009  339]]

 [[1013  343]]

 [[1013  346]]

 [[1009  352]]

 [[1003  355]]

 [[ 992  355]]

 [[ 973  344]]

 [[ 961  342]]

 [[ 958  339]]

 [[ 958  335]]

 [[ 946  333]]

 [[ 944  329]]

 [[ 940  326]]

 [[ 928  325]]

 [[ 927  321]]

 [[ 930  318]]

 [[ 931  314]]

 [[ 936  310]]

 [[ 941  309]]

 [[ 940  304]]]","[1010, 409]",24382.5,2879.3353881035887
15,"[[[1009  232]]

 [[1010  241]]

 [[1015  243]]

 [[1021  250]]

 [[1023  250]]

 [[1030  256]]

 [[1034  256]]

 [[1048  265]]

 [[1055  267]]

 [[1066  264]]

 [[1066  258]]

 [[1059  248]]

 [[1050  239]]

 [[1041  234]]

 [[1037  230]]

 [[1032  228]]

 [[1017  227]]

 [[1013  228]]]","[1037, 245]",1243.5,146.8452191164488
16,"[[[1009  144]]

 [[1009  149]]

 [[1014  155]]

 [[1023  156]]

 [[1026  161]]

 [[1026  167]]

 [[1032  158]]

 [[1037  158]]

 [[1041  160]]

 [[1045  159]]

 [[1042  147]]

 [[1034  141]]

 [[1027  138]]

 [[1017  138]]

 [[1012  140]]]","[1026, 149]",585.5,69.14183819274689
17,"[[[ 954  157]]

 [[ 951  163]]

 [[ 951  169]]

 [[ 968  175]]

 [[ 968  177]]

 [[ 963  181]]

 [[ 963  184]]

 [[ 965  186]]

 [[ 972  187]]

 [[ 975  190]]

 [[ 985  193]]

 [[1004  193]]

 [[1005  197]]

 [[1010  198]]

 [[1011  200]]

 [[1020  197]]

 [[1013  194]]

 [[1010  195]]

 [[1009  192]]

 [[1004  193]]

 [[ 999  188]]

 [[ 999  182]]

 [[1003  177]]

 [[1001  168]]

 [[1004  165]]

 [[1004  163]]

 [[ 992  152]]

 [[ 991  135]]

 [[ 986  137]]

 [[ 982  147]]

 [[ 962  151]]]","[981, 168]",1858.5,219.4707195238601
18,"[[[ 981   95]]

 [[ 981  100]]

 [[ 991  110]]

 [[ 994  111]]

 [[1019  111]]

 [[1028  108]]

 [[1033  104]]

 [[1031   97]]

 [[1024   89]]

 [[1022   84]]

 [[1013   79]]

 [[ 989   79]]]","[1005, 95]",1321.5,156.0562581925107
19,"[[[1066   34]]

 [[1057   34]]

 [[1045   43]]

 [[1032   63]]

 [[1029   81]]

 [[1039   95]]

 [[1039   97]]

 [[1041   98]]

 [[1053   98]]

 [[1066   93]]

 [[1068   91]]

 [[1068   82]]

 [[1072   78]]

 [[1079   79]]

 [[1081   76]]

 [[1084   59]]

 [[1084   49]]

 [[1076   40]]

 [[1072   39]]]","[1056, 66]",2497.5,294.93038580082896
20,"[[[1344  347]]

 [[1335  356]]

 [[1333  366]]

 [[1334  368]]

 [[1341  369]]

 [[1346  374]]

 [[1350  374]]

 [[1358  365]]

 [[1357  349]]

 [[1355  347]]]","[1346, 359]",500.5,59.104167404730696
21,"[[[1386  304]]

 [[1379  299]]

 [[1363  299]]

 [[1356  304]]

 [[1352  305]]

 [[1345  311]]

 [[1341  312]]

 [[1338  315]]

 [[1336  321]]

 [[1336  328]]

 [[1339  337]]

 [[1360  340]]

 [[1376  328]]

 [[1386  315]]]","[1360, 318]",1463.5,172.825072920726
22,"[[[1427  306]]

 [[1427  313]]

 [[1433  323]]

 [[1438  328]]

 [[1444  331]]

 [[1462  330]]

 [[1466  328]]

 [[1475  318]]

 [[1475  312]]

 [[1470  302]]

 [[1470  299]]

 [[1465  295]]

 [[1454  292]]

 [[1448  292]]

 [[1432  299]]]","[1451, 311]",1443.5,170.4632680294281
23,"[[[1395  113]]

 [[1396  122]]

 [[1411  124]]

 [[1418  134]]

 [[1428  134]]

 [[1434  141]]

 [[1435  146]]

 [[1455  161]]

 [[1467  158]]

 [[1469  156]]

 [[1470  145]]

 [[1463  135]]

 [[1460  136]]

 [[1459  143]]

 [[1464  147]]

 [[1464  152]]

 [[1460  152]]

 [[1458  148]]

 [[1454  146]]

 [[1454  144]]

 [[1449  143]]

 [[1447  141]]

 [[1447  136]]

 [[1451  134]]

 [[1456  127]]

 [[1454  121]]

 [[1450  119]]

 [[1441  121]]

 [[1444  131]]

 [[1440  135]]

 [[1438  135]]

 [[1428  126]]

 [[1427  121]]

 [[1429  116]]

 [[1422  111]]

 [[1419  102]]

 [[1412  103]]

 [[1407  101]]

 [[1407  109]]

 [[1403  111]]

 [[1401  114]]]","[1433, 130]",1405.5,165.97583873596201
24,"[[[1299  109]]

 [[1302  123]]

 [[1311  131]]

 [[1314  136]]

 [[1322  140]]

 [[1327  145]]

 [[1338  150]]

 [[1347  157]]

 [[1353  155]]

 [[1360  146]]

 [[1367  142]]

 [[1366  137]]

 [[1353  127]]

 [[1345  125]]

 [[1337  118]]

 [[1331  110]]

 [[1330  104]]

 [[1328  102]]

 [[1322  102]]

 [[1319  105]]

 [[1314  106]]

 [[1309   99]]

 [[1306  101]]

 [[1305  107]]]","[1331, 128]",1862.5,219.9430805021197
25,"[[[1241   41]]

 [[1238   49]]

 [[1238   57]]

 [[1240   63]]

 [[1250   73]]

 [[1254   75]]

 [[1259   74]]

 [[1260   66]]

 [[1254   62]]

 [[1254   57]]

 [[1257   54]]

 [[1267   55]]

 [[1270   58]]

 [[1269   64]]

 [[1265   70]]

 [[1267   72]]

 [[1268   77]]

 [[1263   78]]

 [[1263   81]]

 [[1266   83]]

 [[1270   83]]

 [[1275   79]]

 [[1290   78]]

 [[1292   74]]

 [[1288   72]]

 [[1289   69]]

 [[1292   69]]

 [[1299   75]]

 [[1304   75]]

 [[1308   78]]

 [[1310   78]]

 [[1313   74]]

 [[1314   70]]

 [[1308   60]]

 [[1305   57]]

 [[1301   57]]

 [[1286   47]]

 [[1282   47]]

 [[1282   52]]

 [[1285   61]]

 [[1284   67]]

 [[1277   67]]

 [[1276   69]]

 [[1274   69]]

 [[1273   66]]

 [[1276   65]]

 [[1276   62]]

 [[1271   57]]

 [[1271   54]]

 [[1274   47]]

 [[1278   45]]

 [[1265   37]]

 [[1251   35]]

 [[1245   37]]]","[1271, 59]",1766.5,208.60641702388963
26,"[[[1316   26]]

 [[1316   31]]

 [[1324   38]]

 [[1325   43]]

 [[1327   45]]

 [[1327   49]]

 [[1330   54]]

 [[1335   58]]

 [[1337   62]]

 [[1345   65]]

 [[1355   73]]

 [[1367   75]]

 [[1370   72]]

 [[1376   72]]

 [[1378   66]]

 [[1382   63]]

 [[1382   56]]

 [[1370   49]]

 [[1358   37]]

 [[1345   33]]

 [[1325   31]]

 [[1320   26]]]","[1351, 51]",1606.0,189.65293277122376
27,"[[[1445  522]]

 [[1444  530]]

 [[1446  534]]

 [[1449  536]]

 [[1449  539]]

 [[1453  547]]

 [[1458  552]]

 [[1461  558]]

 [[1464  558]]

 [[1471  564]]

 [[1481  562]]

 [[1486  570]]

 [[1494  574]]

 [[1498  574]]

 [[1502  577]]

 [[1517  581]]

 [[1524  586]]

 [[1528  591]]

 [[1534  590]]

 [[1534  586]]

 [[1530  581]]

 [[1529  573]]

 [[1526  571]]

 [[1524  567]]

 [[1520  545]]

 [[1518  544]]

 [[1515  536]]

 [[1506  524]]

 [[1492  527]]

 [[1487  532]]

 [[1487  541]]

 [[1482  542]]

 [[1482  525]]

 [[1480  521]]

 [[1453  518]]]","[1489, 549]",3216.5,379.83727164298955
28,"[[[1507  479]]

 [[1503  479]]

 [[1496  483]]

 [[1484  496]]

 [[1484  505]]

 [[1489  513]]

 [[1494  517]]

 [[1498  516]]

 [[1511  503]]

 [[1513  492]]]","[1498, 497]",734.5,86.73728463291647
29,"[[[1528  405]]

 [[1526  406]]

 [[1527  410]]

 [[1524  414]]

 [[1518  434]]

 [[1514  440]]

 [[1513  458]]

 [[1519  486]]

 [[1523  488]]

 [[1526  488]]

 [[1534  480]]

 [[1535  475]]

 [[1539  475]]

 [[1541  478]]

 [[1546  478]]

 [[1555  470]]

 [[1553  459]]

 [[1550  454]]

 [[1547  442]]

 [[1540  432]]

 [[1538  425]]

 [[1534  421]]

 [[1534  417]]

 [[1528  409]]]","[1531, 452]",1994.0,235.4719476624036
30,"[[[1482  325]]

 [[1478  327]]

 [[1470  335]]

 [[1468  339]]

 [[1469  353]]

 [[1471  360]]

 [[1488  366]]

 [[1490  364]]

 [[1490  357]]

 [[1496  349]]

 [[1498  343]]

 [[1496  336]]

 [[1487  325]]]","[1482, 344]",865.5,102.20710667091791
31,"[[[1527  315]]

 [[1522  320]]

 [[1516  334]]

 [[1508  340]]

 [[1503  355]]

 [[1499  359]]

 [[1499  362]]

 [[1503  367]]

 [[1506  379]]

 [[1525  396]]

 [[1531  396]]

 [[1539  402]]

 [[1544  399]]

 [[1545  391]]

 [[1550  379]]

 [[1550  365]]

 [[1553  354]]

 [[1552  329]]

 [[1543  319]]

 [[1537  316]]]","[1529, 357]",3180.0,375.5269777163708
32,"[[[1592  228]]

 [[1590  228]]

 [[1589  232]]

 [[1584  232]]

 [[1567  240]]

 [[1561  240]]

 [[1556  246]]

 [[1549  249]]

 [[1546  252]]

 [[1548  257]]

 [[1556  256]]

 [[1562  262]]

 [[1564  269]]

 [[1564  277]]

 [[1561  285]]

 [[1556  292]]

 [[1553  301]]

 [[1551  302]]

 [[1549  308]]

 [[1550  311]]

 [[1556  308]]

 [[1573  287]]

 [[1598  262]]

 [[1598  247]]

 [[1590  234]]

 [[1591  232]]

 [[1593  232]]]","[1573, 262]",1890.5,223.2496073499368
